FolderName,DistanceTag,Distance,MeanCorrelation
re2500_we20_raytraced_D4.00pi,D4.00pi,4,0.43370305832311
re2500_we20_raytraced_D4.67pi,D4.67pi,4.67,0.438183250264052
re2500_we20_raytraced_D5.33pi,D5.33pi,5.33,0.440119972456315
re2500_we20_raytraced_D6.00pi,D6.00pi,6,0.435293854009243
re2500_we20_raytraced_D6.57pi,D6.57pi,6.57,0.427105304832684
re2500_we20_raytraced_D7.14pi,D7.14pi,7.14,0.418707283802981
re2500_we20_raytraced_D7.71pi,D7.71pi,7.71,0.408365718535286
re2500_we20_raytraced_D8.29pi,D8.29pi,8.29,0.397050277495182
re2500_we20_raytraced_D8.86pi,D8.86pi,8.86,0.386312697053054
re2500_we20_raytraced_D9.43pi,D9.43pi,9.43,0.372496749302692
re2500_we20_raytraced_D10.00pi,D10.00pi,10,0.357962729772083
re2500_we20_raytraced_D12.00pi,D12.00pi,12,0.309120936819469
re2500_we20_raytraced_D12.57pi,D12.57pi,12.57,0.297336652772841
re2500_we20_raytraced_D13.14pi,D13.14pi,13.14,0.283621681615158
re2500_we20_raytraced_D13.71pi,D13.71pi,13.71,0.270000651205088
re2500_we20_raytraced_D14.29pi,D14.29pi,14.29,0.258304381491414
re2500_we20_raytraced_D14.86pi,D14.86pi,14.86,0.247110591684105
re2500_we20_raytraced_D15.43pi,D15.43pi,15.43,0.236935973957454
re2500_we20_raytraced_D16.00pi,D16.00pi,16,0.224814484490959
